,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1266339,09/05/2015,14:57,BROOKLYN,11213.0,40.670887,-73.9364893,"(40.670887, -73.9364893)",SAINT JOHNS PLACE               ,TROY AVENUE                     ,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3290712,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
923487,03/16/2017,8:30,MANHATTAN,10032.0,40.841076,-73.93977,"(40.841076, -73.93977)",WEST 168 STREET                 ,BROADWAY,,2.0,0.0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3633608,Van,Taxi,Taxi,,
1361001,03/28/2015,12:15,BRONX,10473.0,40.8172641,-73.8610478,"(40.8172641, -73.8610478)",RANDALL AVENUE                  ,THIERIOT AVENUE                 ,,1.0,0.0,0,0,0,0,1,0,Unspecified,,,,,3193931,PASSENGER VEHICLE,BICYCLE,,,
790729,09/21/2017,3:00,BROOKLYN,11204.0,40.624893,-73.984406,"(40.624893, -73.984406)",18 AVENUE                       ,55 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3754965,Station Wagon/Sport Utility Vehicle,Sedan,,,
962030,12/28/2016,15:00,BROOKLYN,11233.0,40.67921,-73.91375,"(40.67921, -73.91375)",BOYLAND STREET                  ,HULL STREET,,0.0,0.0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3588815,Sedan,Sedan,,,
1430315,12/02/2014,16:45,MANHATTAN,10016,40.7464777,-73.9838968,"(40.7464777, -73.9838968)",MADISON AVENUE                  ,EAST 32 STREET                  ,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3129764,OTHER,SPORT UTILITY / STATION WAGON,,,
595482,08/13/2018,10:30,QUEENS,11101.0,,,,northern blvd                   ,standard lane,,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3960832,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
1237723,10/15/2015,9:00,,,,,,HOYT AVENUE NORTH               ,CRESCENT STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316113,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
1598596,02/17/2014,18:45,,,,,,VICTORY BOULEVARD               ,SAYBROOK STREET                 ,,0.0,0.0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,292946,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2095943,10/01/2024,7:27,BRONX,10465.0,,,,BALCOM AVENUE,LAFAYETTE AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,4764117,Station Wagon/Sport Utility Vehicle,,,,
